Year,MLS_Listed,MLS_Leased
2012,"24,397","13,641"
2013,"30,760","16,538"
2014,"35,828","19,562"
2015,"44,980","24,878"
2016,"36,776","24,188"
2017,"35,181","23,659"
2018,"36,373","23,792"
